Name,Link
Neapolitan 19th/20th Century,https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=6924
"Nebbia, Cesare",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=2662
"Nechvatal, Joseph",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=20543
"Née, François Denis",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5086
"Neeffs, Jacobus",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=5971
"Neeffs, Peeter the Elder",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neeffs the Elder, Peeter",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neeffs the Elder, Pieter",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neefs the Elder, Peeter",https://web.archive.org/web/20121010200714/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Neel, Alice",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6742
"Neely, Anne",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=14695
"Neer, Aernout van der",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6677
"Neer, Aert van der",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6677
"Nefs the Elder, Peeter",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=1748
"Negker, Jost de",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=36906
"Nègre, Charles",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=13432
"Negretti, Jacopo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=2671
"Negroli, Gian Paolo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5513
"Negroli, Giovanni Paolo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5513
"Negroli, Giovanpaolo",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5513
"Negulesco, Jean",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=2663
"Neher, Georg",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=25679
"Neifarer, Ludwig",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=2209
"Neithart, Mathis Gothart",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=1362
"Nelli, Giovanni Battista",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=19599
"Nelli, Niccolò",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5087
"Nelson, E.G.",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5748
"Nelson, Frank",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7900
"Nelson, George",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7901
"Nelson, Joan",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=19105
"Nelson, Lelah",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7902
"Nelson, Leonard",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=26068
"Nelson, Robert Allen",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=23626
"Nemenova, Gerda Mikhailova",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=5088
"Nemtzoff, Anne",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=7903
"Nepras, Karel",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=24842
"Nericault, Philippe",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=6994
"Nerly, Friedrich",https://web.archive.org/web/20121010200710/http://www.nga.gov/cgi-bin/tsearch?artistid=13642
Neroccio de' Landi,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=1750
Neroccio di Bartolommeo de' Landi,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=1750
"Nes, Johan Dircksz van",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=6218
"Nesbitt, Jackson Lee",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=33837
"Nesbitt, Lowell",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=1752
"Nesch, Rolf",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=5089
"Nesleha, Pavel",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=24829
Netherlandish 14th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8340
Anonymous Netherlandish,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8342
Netherlandish 15th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8341
Netherlandish 16th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8346
Netherlandish 17th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8350
Netherlandish 18th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8354
Netherlandish 20th Century,https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=8365
"Netscher, Gaspar",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=5999
"Netscher, Theodor",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=6940
"Netsky, Ronald",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=5090
"Nette, Johann Friedrich",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=11564
"Neuburger, B.-A.",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=21946
"Neufahrer, Ludwig",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=2209
"Neufarer, Ludwig",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=2209
"Neufforge, Jean-François de",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=11368
"Neuhauser II, Franz",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=5092
"Neumann, Balthasar",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=20588
"Neumann, Raymond",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=7904
"Neumann, Robert von",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=5093
"Neundinger, Franz",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=5091
"Neunhertz, Georg Wilhelm",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=5299
"Neureuther, Eugen Napoleon",https://web.archive.org/web/20121010200852/http://www.nga.gov/cgi-bin/tsearch?artistid=20495
"Neustadt, Barbara",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5094
"Nevelson, Louise",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5095
"Newcombe, Warren A.",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=33838
"Newman, Arnold",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=23656
"Newman, Barnett",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=2664
"Newman, Lee",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=29904
"Newman, Marvin",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=23599
"Newman, Robert",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=34177
"Newsam, Albert",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=2665
"Newswanger, Myra",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=7905
"Newton, Edith Whittlesey",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=33839
"Newton, James",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=20907
"Newton, William John",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=6118
"Neyts, Aegidius",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5096
"Neyts, Gilles",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5096
Niccolò di Giacomo da Bologna,https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=4673
"Niceron, Jean François",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=11372
Nicholaus,https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=2210
"Nichols, Dale William",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=33840
"Nicholson, Ben",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5989
"Nicholson, William Newzam Prior Sir",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5097
"Nicholson, William, Sir",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5097
"Nickel, Heinz",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5098
"Nickson, Graham",https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=20504
Nicola da Urbino,https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5512
Nicola di Gabriele Sbraghe,https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5512
Nicolas de Douai,https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5510
Nicolas de Florence,https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5546
Nicolas of Florence,https://web.archive.org/web/20121010200813/http://www.nga.gov/cgi-bin/tsearch?artistid=5546
